Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
FAULKNER John,23-Feb-11,24-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",2,233.00,,466.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FAULKNER_John.pdf5FAULKNER John
FIELDING Steve,23-Feb-11,23-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",1,233.00,,233.00,61http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIELDING_Steve.pdf5FIELDING Steve
FORSHAW Michael,23-Feb-11,24-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",2,233.00,,466.00,70http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FORSHAW_Michael.pdf5FORSHAW Michael
HUMPHRIES Gary,23-Feb-11,24-Feb-11,Parl House,Community Affairs  (Sen/Stand),2,77.00,,154.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf5HUMPHRIES Gary
JOYCE Barnaby,23-Feb-11,24-Feb-11,Tamworth,Shadow Minister -  Official Business,2,82.00,,164.00,101http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/JOYCE_Barnaby.pdf5JOYCE Barnaby
MACDONALD Ian,23-Feb-11,25-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",3,233.00,,699.00,82http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MACDONALD_Ian.pdf5MACDONALD Ian
MARSHALL Gavin,23-Feb-11,24-Feb-11,Canberra,"Education, Employment  and Workplace Relations  (Sen/Stand)",2,233.00,,466.00,46http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MARSHALL_Gavin.pdf5MARSHALL Gavin
MOORE Claire,23-Feb-11,24-Feb-11,Canberra,Economics (Sen/Stand),2,233.00,,466.00,52http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MOORE_Claire.pdf5MOORE Claire
O'BRIEN Kerry,23-Feb-11,24-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",2,233.00,,466.00,67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'BRIEN_Kerry.pdf5O'BRIEN Kerry
POLLEY Helen,23-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),2,233.00,,466.00,55http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/POLLEY_Helen.pdf5POLLEY Helen
PRATT Louise,23-Feb-11,24-Feb-11,Canberra,"Education, Employment  and Workplace Relations  (Sen/Stand)",2,233.00,,466.00,59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PRATT_Louise.pdf5PRATT Louise
RONALDSON Michael,23-Feb-11,24-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",2,233.00,,466.00,61http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RONALDSON_Michael.pdf5RONALDSON Michael
SIEWERT Rachel,23-Feb-11,24-Feb-11,Canberra,Community Affairs  (Sen/Stand),2,233.00,,466.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIEWERT_Rachel.pdf5SIEWERT Rachel
TROOD Russell,23-Feb-11,24-Feb-11,Canberra,"Foreign Affairs, Defence  and Trade (Sen/Stand)",2,233.00,,466.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TROOD_Russell.pdf5TROOD Russell
WILLIAMS John,23-Feb-11,24-Feb-11,Canberra,"Education, Employment  and Workplace Relations  (Sen/Stand)",2,233.00,,466.00,67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILLIAMS_John.pdf5WILLIAMS John
WORTLEY Dana,23-Feb-11,24-Feb-11,Canberra,"Education, Employment  and Workplace Relations  (Sen/Stand)",2,233.00,,466.00,38http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WORTLEY_Dana.pdf5WORTLEY Dana
XENOPHON Nick,23-Feb-11,24-Feb-11,Canberra,"Education, Employment  and Workplace Relations  (Sen/Stand)",2,233.00,,466.00,107http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/XENOPHON_Nick.pdf5XENOPHON Nick
ABBOTT Tony,24-Feb-11,24-Feb-11,Brisbane,Office Holder - Official  Business,1,391.00,,391.00,69http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ABBOTT_Tony.pdf5ABBOTT Tony
ALBANESE Anthony,24-Feb-11,24-Feb-11,Melbourne,Minister/Office Holder -  Official Business,1,420.00,,420.00,114http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf5ALBANESE Anthony
BARNETT Guy,24-Feb-11,26-Feb-11,Hobart,Electorate Business,3,285.00,,855.00,72http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BARNETT_Guy.pdf5BARNETT Guy
BISHOP Julie,24-Feb-11,24-Feb-11,Sydney,Office Holder - Official  Business,1,420.00,,420.00,91http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Julie.pdf5BISHOP Julie
FARRELL Don,24-Feb-11,24-Feb-11,Sydney,Parliamentary Secretary -  Official Business,1,420.00,,420.00,128http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
FEENEY David,24-Feb-11,24-Feb-11,Adelaide,Parliamentary Secretary -  Official Business,1,364.00,,364.00,100http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FEENEY_David.pdf5FEENEY David
KING Catherine,24-Feb-11,24-Feb-11,Perth,Parliamentary Secretary -  Official Business,1,430.00,,430.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KING_Catherine.pdf5KING Catherine
LEY Sussan,24-Feb-11,26-Feb-11,Hobart,Shadow Minister -  Official Business,3,95.00,,285.00,162http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
LUDLAM Scott,24-Feb-11,26-Feb-11,Sydney,Electorate Business,3,360.00,,"1,080.00",36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LUDLAM_Scott.pdf5LUDLAM Scott
MACFARLANE Ian,24-Feb-11,24-Feb-11,Brisbane,Shadow Minister -  Official Business,1,368.00,,368.00,83http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MACFARLANE_Ian.pdf5MACFARLANE Ian
MCCORMACK Michael,24-Feb-11,24-Feb-11,Canberra,Regional Australia  (Reps/Stand),1,233.00,,233.00,130http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCORMACK_Michael.pdf5MCCORMACK Michael
MCGAURAN Julian,24-Feb-11,24-Feb-11,Canberra,Rural and Regional  Affairs and Transport  (Sen/Stand),1,233.00,,233.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCGAURAN_Julian.pdf5MCGAURAN Julian
MIRABELLA Sophie,24-Feb-11,24-Feb-11,Sydney,Shadow Minister -  Official Business,1,120.00,,120.00,52http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MIRABELLA_Sophie.pdf5MIRABELLA Sophie
PAYNE Marise,24-Feb-11,24-Feb-11,Canberra,Environment and  Communications  (Sen/Stand),1,233.00,,233.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PAYNE_Marise.pdf5PAYNE Marise
ROBB Andrew,24-Feb-11,24-Feb-11,Sydney,Shadow Minister -  Official Business,1,76.00,,76.00,67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ROBB_Andrew.pdf5ROBB Andrew
SHERRY Nick,24-Feb-11,24-Feb-11,Melbourne,Minister/Office Holder -  Official Business,1,420.00,,420.00,92http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SHERRY_Nick.pdf5SHERRY Nick
SHORTEN Bill,24-Feb-11,24-Feb-11,Brisbane,Minister/Office Holder -  Official Business,1,131.00,,131.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SHORTEN_Bill.pdf5SHORTEN Bill
CAMERON Doug,25-Feb-11,25-Feb-11,Canberra,Rural Affairs and  Transport (Sen/Stand),1,233.00,,233.00,61http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CAMERON_Doug.pdf5CAMERON Doug
CASH Michaelia,25-Feb-11,25-Feb-11,Canberra,Treaties (Joint/Stand),1,233.00,,233.00,97http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CASH_Michaelia.pdf5CASH Michaelia
MILNE Christine,25-Feb-11,26-Feb-11,Sydney,Deputy Party Leader -  Official Business,2,120.00,,240.00,74http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MILNE_Christine.pdf5MILNE Christine
SNOWDON Warren,25-Feb-11,25-Feb-11,Melbourne,Minister/Office Holder -  Official Business,1,420.00,,420.00,121http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf5SNOWDON Warren
BISHOP Mark,26-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,6,233.00,,"1,398.00",53http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Mark.pdf5BISHOP Mark
CAMERON Doug,26-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,6,233.00,,"1,398.00",68http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CAMERON_Doug.pdf5CAMERON Doug
CASH Michaelia,26-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,6,233.00,,"1,398.00",104http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CASH_Michaelia.pdf5CASH Michaelia
CONROY Stephen,26-Feb-11,26-Feb-11,Sydney,Minister/Office Holder -  Official Business,1,420.00,,420.00,84http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CONROY_Stephen.pdf5CONROY Stephen
DREYFUS Mark,26-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",74http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DREYFUS_Mark.pdf5DREYFUS Mark
EGGLESTON Alan,26-Feb-11,4-Mar-11,Canberra,Sittings of Parliament,7,233.00,,"1,631.00",36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/EGGLESTON_Alan.pdf5EGGLESTON Alan
FISHER Mary%20Jo,26-Feb-11,4-Mar-11,Canberra,Sittings of Parliament,7,233.00,,"1,631.00",54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FISHER_Mary%20Jo.pdf5FISHER Mary%20Jo
MACDONALD Ian,26-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,6,233.00,,"1,398.00",89http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MACDONALD_Ian.pdf5MACDONALD Ian
MASON Brett,26-Feb-11,4-Mar-11,Canberra,Sittings of Parliament,7,233.00,,"1,631.00",62http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MASON_Brett.pdf5MASON Brett
PYNE Christopher,26-Feb-11,26-Feb-11,Sydney,Shadow Minister -  Official Business,1,360.00,,360.00,83http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PYNE_Christopher.pdf5PYNE Christopher
TRUSS Warren,26-Feb-11,26-Feb-11,Murgon,Electorate Business,1,227.00,,227.00,66http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TRUSS_Warren.pdf5TRUSS Warren
ABBOTT Tony,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",76http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ABBOTT_Tony.pdf5ABBOTT Tony
ABETZ Eric,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",70http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ABETZ_Eric.pdf5ABETZ Eric
ADAMS Dick,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ADAMS_Dick.pdf5ADAMS Dick
ADAMS Judith,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,57http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ADAMS_Judith.pdf5ADAMS Judith
ALBANESE Anthony,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,121http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf5ALBANESE Anthony
ANDREWS Karen,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ANDREWS_Karen.pdf5ANDREWS Karen
ANDREWS Kevin,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ANDREWS_Kevin.pdf5ANDREWS Kevin
BALDWIN Bob,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",90http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BALDWIN_Bob.pdf5BALDWIN Bob
BARNETT Guy,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",79http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BARNETT_Guy.pdf5BARNETT Guy
BERNARDI Cory,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",50http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BERNARDI_Cory.pdf5BERNARDI Cory
BILLSON Bruce,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,50http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BILLSON_Bruce.pdf5BILLSON Bruce
BISHOP Bronwyn,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,82http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Bronwyn.pdf5BISHOP Bronwyn
BISHOP Julie,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",98http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Julie.pdf5BISHOP Julie
BOSWELL Ronald,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BOSWELL_Ronald.pdf5BOSWELL Ronald
BOYCE Sue,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",66http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BOYCE_Sue.pdf5BOYCE Sue
BRADBURY David,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,48http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BRADBURY_David.pdf5BRADBURY David
BRANDIS George,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",75http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BRANDIS_George.pdf5BRANDIS George
BROADBENT Russell,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BROADBENT_Russell.pdf5BROADBENT Russell
BROWN Bob,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BROWN_Bob.pdf5BROWN Bob
BROWN Carol,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BROWN_Carol.pdf5BROWN Carol
BUCHHOLZ Scott,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,62http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUCHHOLZ_Scott.pdf5BUCHHOLZ Scott
BURKE Tony,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,115http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BURKE_Tony.pdf5BURKE Tony
BUSHBY David,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUSHBY_David.pdf5BUSHBY David
BUTLER Mark,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",106http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf5BUTLER Mark
BYRNE Anthony,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BYRNE_Anthony.pdf5BYRNE Anthony
CARR Kim,27-Feb-11,27-Feb-11,Adelaide,Minister/Office Holder -  Official Business,1,364.00,,364.00,76http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CARR_Kim.pdf5CARR Kim
CHAMPION Nick,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",58http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CHAMPION_Nick.pdf5CHAMPION Nick
CHEESEMAN Darren,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CHEESEMAN_Darren.pdf5CHEESEMAN Darren
CHRISTENSEN George,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,69http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CHRISTENSEN_George.pdf5CHRISTENSEN George
CLARE Jason,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,66http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CLARE_Jason.pdf5CLARE Jason
COLBECK Richard,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",65http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COLBECK_Richard.pdf5COLBECK Richard
COLLINS Jacinta,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COLLINS_Jacinta.pdf5COLLINS Jacinta
COLLINS Julie,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,57http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COLLINS_Julie.pdf5COLLINS Julie
CONROY Stephen,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,91http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CONROY_Stephen.pdf5CONROY Stephen
CORMANN Mathias,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CORMANN_Mathias.pdf5CORMANN Mathias
CROSSIN Trish,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",59http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CROSSIN_Trish.pdf5CROSSIN Trish
D'ATH Yvette,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/D'ATH_Yvette.pdf5D'ATH Yvette
DUTTON Peter,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",74http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DUTTON_Peter.pdf5DUTTON Peter
ELLIOT Justine,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ELLIOT_Justine.pdf5ELLIOT Justine
ELLIS Kate,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ELLIS_Kate.pdf5ELLIS Kate
EVANS Christopher,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,44http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/EVANS_Christopher.pdf5EVANS Christopher
FARRELL Don,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",135http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
FEENEY David,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",107http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FEENEY_David.pdf5FEENEY David
FERGUSON Laurie,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FERGUSON_Laurie.pdf5FERGUSON Laurie
FERGUSON Martin,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",81http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FERGUSON_Martin.pdf5FERGUSON Martin
FIELDING Steve,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",68http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIELDING_Steve.pdf5FIELDING Steve
FIERRAVANTI-WELLS Concetta,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",52http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIERRAVANTI-WELLS_Concetta.pdf5FIERRAVANTI-WELLS Concetta
FIFIELD Mitch,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",60http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIFIELD_Mitch.pdf5FIFIELD Mitch
FITZGIBBON Joel,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",79http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FITZGIBBON_Joel.pdf5FITZGIBBON Joel
FORSHAW Michael,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",77http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FORSHAW_Michael.pdf5FORSHAW Michael
FURNER Mark,27-Feb-11,3-Mar-11,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FURNER_Mark.pdf5FURNER Mark
GAMBARO Teresa,27-Feb-11,2-Mar-11,Canberra,Sittings of Parliament,4,233.00,,932.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GAMBARO_Teresa.pdf5GAMBARO Teresa
