location-to,date,partygroup,count
Melbourne,23/03/2014,Coalition,7
Melbourne,23/03/2014,Labor,9
Perth,23/03/2014,Labor,2
Sydney,23/03/2014,Coalition,8
Melbourne,24/03/2014,Coalition,2
Melbourne,24/03/2014,Labor,9
Sydney,24/03/2014,Coalition,2
Sydney,24/03/2014,Labor,3
Adelaide,25/03/2014,Labor,2
Melbourne,25/03/2014,Coalition,2
Melbourne,25/03/2014,Labor,2
Perth,25/03/2014,Labor,4
Sydney,25/03/2014,Coalition,3
Brisbane,26/03/2014,Coalition,3
Melbourne,26/03/2014,Labor,2
Perth,26/03/2014,Labor,2
Sydney,26/03/2014,Coalition,6
Adelaide,27/03/2014,Greens,2
Adelaide,27/03/2014,Labor,4
Brisbane,27/03/2014,Labor,4
Brisbane,27/03/2014,Coalition,5
Hobart,27/03/2014,Labor,2
Melbourne,27/03/2014,Independent,2
Melbourne,27/03/2014,Greens,3
Melbourne,27/03/2014,Coalition,10
Melbourne,27/03/2014,Labor,22
Perth,27/03/2014,Labor,4
Perth,27/03/2014,Coalition,11
Sydney,27/03/2014,Coalition,9
Sydney,27/03/2014,Labor,9
Townsville,27/03/2014,Coalition,2
Adelaide,28/03/2014,Labor,5
Adelaide,28/03/2014,Coalition,9
Brisbane,28/03/2014,Labor,8
Brisbane,28/03/2014,Coalition,20
Broome,28/03/2014,Labor,2
Coolangatta,28/03/2014,Coalition,3
Darwin,28/03/2014,Labor,3
Hervey Bay,28/03/2014,Coalition,2
Hobart,28/03/2014,Coalition,3
Hobart,28/03/2014,Labor,4
Launceston,28/03/2014,Coalition,2
Melbourne,28/03/2014,Greens,2
Melbourne,28/03/2014,Labor,19
Melbourne,28/03/2014,Coalition,23
Perth,28/03/2014,Coalition,2
Perth,28/03/2014,Labor,3
Rockhampton,28/03/2014,Coalition,2
Sydney,28/03/2014,Labor,14
Sydney,28/03/2014,Coalition,16
Townsville,28/03/2014,Coalition,2
Adelaide,29/03/2014,Labor,2
Alice Springs,29/03/2014,Labor,2
Brisbane,29/03/2014,Labor,2
Brisbane,29/03/2014,Coalition,3
Hobart,29/03/2014,Labor,2
Melbourne,29/03/2014,Labor,4
Melbourne,29/03/2014,Coalition,5
Perth,29/03/2014,Coalition,2
Sydney,29/03/2014,Labor,3
Sydney,29/03/2014,Coalition,9
Brisbane,30/03/2014,Coalition,3
Hobart,30/03/2014,Coalition,2
Mackay,30/03/2014,Coalition,2
Melbourne,30/03/2014,Coalition,3
Perth,30/03/2014,Coalition,2
Sydney,30/03/2014,Coalition,4
Tamworth,30/03/2014,Coalition,2
Albury,31/03/2014,Coalition,2
Alice Springs,31/03/2014,Coalition,2
Brisbane,31/03/2014,Coalition,2
Brisbane,31/03/2014,Labor,2
Coolangatta,31/03/2014,Coalition,2
Melbourne,31/03/2014,Coalition,7
Perth,31/03/2014,Labor,2
Perth,31/03/2014,Coalition,12
Sydney,31/03/2014,Labor,3
Sydney,31/03/2014,Coalition,8
Adelaide,01/04/2014,Coalition,2
Adelaide,01/04/2014,Greens,2
Alice Springs,01/04/2014,Coalition,3
Alice Springs,01/04/2014,Labor,3
Brisbane,01/04/2014,Coalition,2
Brisbane,01/04/2014,Labor,2
Melbourne,01/04/2014,Labor,5
Melbourne,01/04/2014,Coalition,6
Sydney,01/04/2014,Labor,2
Sydney,01/04/2014,Coalition,9
Tennant Creek,01/04/2014,Coalition,2
Tennant Creek,01/04/2014,Labor,2
Adelaide,02/04/2014,Coalition,2
Brisbane,02/04/2014,Coalition,4
Darwin,02/04/2014,Coalition,2
Darwin,02/04/2014,Labor,3
Geraldton,02/04/2014,Greens,2
Geraldton,02/04/2014,Coalition,3
Melbourne,02/04/2014,Greens,2
Melbourne,02/04/2014,Labor,2
